site,awr,awt
aargcomau,1.00,0.69
abiequinecom,0.83,0.88
acblackcom,1.00,0.83
activeboardcom,1.00,0.40
adventuresinestrogenblogspotcom,0.67,0.40
afsrechtsanwaeltede,0.40,0.60
aimhigheracuk,0.93,0.70
aldunningcom,0.85,0.86
alitoloeeiblogfacom,0.83,0.89
allpredatorcallscom,1.00,0.89
allthingslakecom,0.78,0.86
amarylliscreationscom,0.92,0.33
americanfreedomwatchradiocom,0.30,0.10
arkedustatearus,0.80,0.56
arsenalartsorg,0.75,0.91
artistsvswalmarttumblrcom,0.15,0.23
askingsmarterquestionscom,0.33,0.19
aventuraperuyast,0.13,0.07
badhostesscom,0.42,0.93
bicyclelacrossecom,0.78,0.73
bloghowgoinfo,0.73,1.00
bloginstapapercom,0.92,0.50
blogmattmelvincom,0.25,0.08
bluraycatcom,0.90,0.25
bmbeautycojp,1.00,0.50
breakthroughcollaborativeorg,0.06,0.00
browngirlgeniusnet,0.11,0.70
businesscreightonedu,0.67,0.58
bwjdesigncom,0.93,0.92
campusrecreationtxstateedu,0.40,0.22
carriebodlecom,0.33,0.15
caworg,0.89,0.62
cleghornplantationcom,0.08,0.10
collegeofpracticalhomeopathycom,0.00,0.11
com,0.67,0.84
communityenhancetvcomau,0.90,0.40
comunicacionesfccom,1.00,1.00
contigogobmx,0.90,1.00
coupongreatcom,0.75,0.58
dakchitypepadcom,0.92,0.69
deepimpactumdedu,0.77,0.92
designedcouk,0.31,0.10
devonlehmancom,0.67,0.46
dngcom,0.80,0.78
dotfivecom,0.80,0.64
earningswhisperscom,1.00,0.42
eceuropaeu,0.00,0.11
ecofurnituredesigncom,0.67,1.00
europeanhistoryaboutcom,0.38,0.40
excelsiorbrewcom,0.45,0.82
farfetchcom,0.25,0.90
firstdownsportsbarcom,0.36,0.47
floridabankruptcyhelpcom,0.80,0.58
frankmanzettiscom,0.57,0.50
fraubirnsteinde,0.88,0.79
freddiehubbardmusiccom,0.90,0.89
friendstertweakerscom,0.70,0.58
ftthcouncilorg,0.90,1.00
gameendingscouk,0.55,0.60
geekpopcouk,0.54,0.23
goosecreekassnorg,0.50,0.36
grahamowengallerycom,0.58,0.13
greatamericanroadtripus,1.00,0.67
greatlifetourscom,0.50,0.70
grumpyoldmattcom,0.11,0.50
haveliindiacom,1.00,0.87
haywardcagov,0.55,0.42
heartsonfirecom,1.00,1.00
heatherpearsoncom,0.70,0.73
hellotrentoncom,0.27,0.22
hiltonshorthillscom,0.67,0.60
homehuntscom,0.78,0.73
homehuntscomlocalefrpagehomeareausa,0.60,1.00
horseracingbetfaircom,0.85,0.69
hotelgarbiibizacom,0.89,0.92
huguesblogscom,0.17,0.40
humondeviantartcom,1.00,0.46
hurricanecreekhomesteadcom,0.85,0.10
ibntaimiahalislamcom,0.50,0.50
ihacomcn,1.00,0.22
ilfdinarwordpresscom,0.60,0.46
infofedsca,0.60,0.50
ishinnavicom,0.54,0.40
jackcontebandcampcom,0.44,1.00
joelargecom,0.54,0.67
josefstadtorg,1.00,0.30
jurinummelinblogspotcom,0.38,0.23
kathelinejeanpierrecom,0.70,0.90
kenyaunorg,0.27,0.21
kingtutshopcom,1.00,0.92
ksmrsmumnedu,1.00,0.86
landsbergjewelerscom,0.18,0.22
lemailloncom,0.70,0.83
lifestarrescuecom,0.80,0.40
localefrarealanguedoc,1.00,0.46
mattbartonnet,1.00,1.00
mattdennblogsdelawaregov,0.75,0.75
mcdonaldscomtw,0.91,0.92
meatthetruthcom,0.50,0.62
medispaseattlecom,0.82,0.46
mfeeltiptopcom,0.38,0.64
minuautoremontee,0.42,0.40
monicaespositoartcom,0.90,0.78
myricom,0.00,0.00
mytopiacom,0.18,0.42
nationalpolicyinstituteorg,0.79,0.31
northstarnationalcom,0.50,0.20
nudmn,0.85,1.00
oafbca,0.80,0.42
ombudsmanmd,0.00,0.18
openeyepicturescom,0.46,0.38
openlistca,0.60,0.58
org,0.80,0.37
oxfordkarateacademycom,0.80,0.89
pamedsocorg,1.00,1.00
pcballoonadventurescom,0.67,0.57
penrynoakstablescom,0.60,0.93
perzocom,1.00,0.57
pesostoryorg,0.80,0.42
phpkitde,0.90,0.77
plrme,0.93,0.83
pnacinfo,0.91,0.80
portalofevilcom,0.50,0.31
pqmonthlycom,0.73,1.00
praxisinternationalorg,0.92,0.80
psccampscom,0.00,0.17
purplezoeblogspotcom,0.80,0.50
quickieschicagoblogspotcom,0.58,0.40
radionorthlandorg,0.17,0.10
rockandroadde,0.42,0.22
romaomaticcom,0.93,0.75
rosenfeldmediacom,0.85,0.33
rssowlorg,0.92,0.42
rsssoftwarede,0.50,0.80
rubyforgeorg,0.88,0.62
saleshoecom,0.90,0.69
sanfordblogspotcom,0.36,0.45
sarakalicom,0.33,0.07
sautewednesdaycom,1.00,0.71
scvngrmobi,0.87,1.00
solongkittyca,0.70,0.07
stillontheruncom,0.75,0.38
stuartwebercom,0.82,0.45
sudantimescom,0.25,0.70
sunshinesystemscom,1.00,0.79
swcazedu,0.50,0.77
sweatleecom,0.85,0.11
tavshilcoil,0.58,0.78
telapakorg,0.08,0.12
tendollarlogoscom,0.70,0.58
thegioiamthucinfo,0.46,0.40
thelastgringocom,0.90,0.70
thetexastheatrecom,0.86,0.44
threatcorecom,0.40,0.45
trekradionet,0.75,0.67
uaeuwaterlooca,0.56,0.70
ukraineusembassygov,0.88,0.90
uuccharlotteorg,0.77,1.00
vetealavershcom,1.00,1.00
wahmblogpostiecom,0.73,0.70
wangulencom,0.70,1.00
wcclinicalcom,0.77,0.54
whalewatchneaqorg,0.73,0.38
windandstarscom,0.89,1.00
xetacom,0.27,0.20
yesonbinfo,0.90,0.83
yopalacuisineoverblogcom,0.90,1.00
yourhomestagingtorstardigitalnet,0.30,0.60
yuedujo,0.85,0.58
zentexturescom,0.90,0.86
